# MAGNHIFFIC sample (35 objects).  H0 = 67.8 km/s/Mpc
# grouped by subsample, then sorted by ascending distance
# name            ra_j2000    dec_j2000    dl_mpc gtype
#
# MAGNUM subsample -- Venturi et al. (2017) (7 objects)
  Centaurus A       13:25:28    -43:01:09       3.4 S0
  NGC 1068          02:42:41    -00:00:48      15.5 Sb
  NGC 1386          03:36:46    -35:59:58      15.6 Sb
  NGC 1365          03:33:36    -36:08:25      19.6 Sc
  NGC 5643          14:32:41    -44:10:28      20.6 Sc
  NGC 2992          09:45:42    -14:19:35      34.8 Sa
  IC 5063           20:52:02    -57:04:08      47.9 S0a
#
# Radio-loud subsample -- Ruffa et al. (2019) (9 objects)
  NGC 1399          03:38:29    -35:27:02      19.4 E
  Fornax A          03:22:42    -37:12:30      20.8 S0
  IC 1459           22:57:11    -36:27:44      24.2 E
  NGC 3100          10:00:41    -31:39:52      38.5 S0
  NGC 3557          11:09:58    -37:32:21        44 E
  IC 4296           13:36:39    -33:57:57      51.2 E
  NGC 7075          21:31:33    -38:37:04     78.28 E
  IC 1531           00:09:36    -32:16:37    109.28 S0
  PKS 0718-34       07:20:48    -34:07:06    128.14 S0
#
# Additional sources (19 objects)
  NGC 660           01:43:02    13:38:44       12.4 Sb
  NGC 1433          03:42:02    -47:13:20      14.9 SBb
  NGC 1808          05:07:42    -37:30:47      15.6 Sab
  NGC 1566          04:20:00    -54:56:16      17.6 Sc
  NGC 1097          02:46:19    -30:16:30      18.6 Sb
  NGC 1371          03:35:01    -24:56:00      20.4 Sa
  NGC 1052          02:41:05    -08:15:21      20.5 E
  NGC 1672          04:45:42    -59:14:50      20.5 SBc
  NGC 0289          00:52:42    -31:12:21      22.9 Sb
  ESO 428-G14       07:16:31    -29:19:29      25.0 Sa
  NGC 5506          14:13:15    -03:12:27      26.9 Sa
  NGC 2663          08:45:08    -33:47:41      29.9 E
  NGC 4261          12:19:23    05:49:29       32.1 E
  NGC 5903          15:18:37    -24:04:07      33.9 E
  NGC 4696          12:48:49    -41:18:40      41.7 S0
  NGC 5793          14:59:25    -16:41:36      46.2 E
  NGC 5090          13:21:13    -43:42:17      46.8 E
  NGC 3801          11:40:17    17:43:41       52.1 S0
  PKS 1718-649      17:23:41    -65:00:37        59 S0
