name,ra,dec,dl_mpc,gal_type,agn_type,subsample,environment,ned_url,correction
IC 5063,20:52:02,-57:04:08,47.9,S0a,Seyfert & kpc-scale radio jet,magnum,Isolated 1 comp?,http://ned.ipac.caltech.edu/byname?objname=IC+5063&amp;hconst=67.8&amp;omegam=0.308&amp;omegav=0.692&amp;wmap=4&amp;corr_z=1,
NGC 1068,02:42:41,-00:00:48,15.5,Sb,Seyfert & kpc-scale radio jet,magnum,Poor group (2 mem),http://ned.ipac.caltech.edu/byname?objname=NGC+1068&amp;hconst=67.8&amp;omegam=0.308&amp;omegav=0.692&amp;wmap=4&amp;corr_z=1,
IC 1459,22:57:10.61,-36:27:44.0,24.2,E,RL kpc-scale radio jets,radio_loud,BGG (16 mem),http://ned.ipac.caltech.edu/byname?objname=IC+1459&amp;hconst=67.8&amp;omegam=0.308&amp;omegav=0.692&amp;wmap=4&amp;corr_z=1,RA was 11:40:16 — copied from NGC 3801; dec was correct
IC 4296,13:36:39,-33:57:57,51.2,E,RL 100 kpc radio jets,radio_loud,BCG of A3537,http://ned.ipac.caltech.edu/byname?objname=IC+4296&amp;hconst=67.8&amp;omegam=0.308&amp;omegav=0.692&amp;wmap=4&amp;corr_z=1,
NGC 2992,09:45:42,-14:19:35,34.8,Sa,Seyfert & kpc jet,magnum,Isolated (1 comp),http://ned.ipac.caltech.edu/byname?objname=NGC+2992&amp;hconst=67.8&amp;omegam=0.308&amp;omegav=0.692&amp;wmap=4&amp;corr_z=1,
NGC 4261,12:19:23,05:49:29,32.1,E,RL 80 kpc jet & lobe 75 Myr FRI,other,Group (18 mem),http://ned.ipac.caltech.edu/byname?objname=NGC+4261&amp;hconst=67.8&amp;omegam=0.308&amp;omegav=0.692&amp;wmap=4&amp;corr_z=1,
NGC 1052,02:41:05,-08:15:21,20.5,E,RL + kpc-scale jets,other,Group (4 mem),http://ned.ipac.caltech.edu/byname?objname=NGC+1052&amp;hconst=67.8&amp;omegam=0.308&amp;omegav=0.692&amp;wmap=4&amp;corr_z=1,
NGC 1097,02:46:19,-30:16:30,18.6,Sb,Seyfert + kpc-scale jets,other,Poor Group (2 mem),http://ned.ipac.caltech.edu/byname?objname=ngc%201097&amp;hconst=67.8&amp;omegam=0.308&amp;omegav=0.692&amp;wmap=4&amp;corr_z=1,
NGC 2663,08:45:08,-33:47:41,29.9,E,RL + 355 kpc jets,other,Isolated,http://ned.ipac.caltech.edu/byname?objname=ngc+2663&amp;hconst=67.8&amp;omegam=0.308&amp;omegav=0.692&amp;wmap=4&amp;corr_z=1,
NGC 4696,12:48:49,-41:18:40,41.7,S0,RL + 10 kpc jets,other,BCG (Centaurus cluster?),http://ned.ipac.caltech.edu/byname?objname=NGC+4696&hconst=67.8&omegam=0.308&omegav=0.692&z_constraint=Unconstrained&of=table&search_type=Basic,
